Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Country,Company Name
Data & AI,Digital twin,2014,Existing,https://g2-ops.com,IT services suite provider based on digital twin technology,Unfunded,,USA,2 Ops
Business Model Innovation,Freight Orchestration,2014,Emerging,https://2cargo.com,Online freight transport marketplace,Seed,"1,600,000",China,2cargo
Business Model Innovation,Freight Orchestration,2015,Emerging,https://45hc.com,"Online platform for booking container space, carrier and customers broker",Funded,,China,45HC.com
Business Model Innovation,Freight Orchestration,2013,Emerging,https://4shipping.com,Online marketplace for freight transportation through inland waterways,Funded,,Netherlands,4shipping
Data & AI,Fleet Utilization,2016,Existing,https://51kpwang.com,Online marketplace for freight transportation services,Series A,"7,228,520",China,51 Fast Matching
Fuel & Efficiency,Energy Efficiency & Storage,2012,Existing,https://75f.io,Technology solutions for energy conservation and resolve temperature imbalance,Series A,"28,373,608",USA,75fahrenheit
Data & AI,Digital twin,2012,Existing,https://abyssal.eu,Develops sub-sea navigation technology for ROVs using 3D & AR,Seed,,Portugal,Abyssal
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2014,Emerging,https://accion-systems.com,Developing propulsion systems for satellites based on a proprietary ion beam technology,Series B,"23,882,783",USA,Accion Systems
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2013,Existing,https://aoecanada.ca,WEC based on buoys operated on air pressure difference,Series A,,Canada,Accumulated Ocean Energy
Fuel & Efficiency,Energy Efficiency & Storage,2016,Existing,https://adaptive-balancing.de,Flywheel-based energy storage solution developers,Seed,,Germany,Adaptive Balancing Power
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2014,Emerging,https://adaptivesurface.tech,Producer of materials and coatings that repel fluids,Series A,"8,600,000",USA,Adaptive Surface
Data & AI,Fleet Utilization,2015,Existing,https://agilys.io,Software solutions provider for the logistics industry,Funded,,,Agilys
Business Model Innovation,CO2 Reduction Monetization In Other Industries,2017,Distant,https://aircompany.com/,Vodka made out of air,Funded,,USA,Air Co.
"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,2019,Distant,https://aircarbon.co/,AirCarbon is a Singapore-based Commodities Exchange using distributed ledger technology on a traditional trading architecture. It leverages blockchain architecture to create securitized carbon credit on Ethereum and ERC20 & ERC721 tokens.,Seed,"750,000",Singapore,Aircarbon
"Infrastructure, vessel & Asset efficiency",Drones,2014,Emerging,https://airoboticsdrones.com,Designs and develops autonomous industrial drones,Series D,"101,000,000",USA,Airobotics
Data & AI,5G Connectivity,2013,Emerging,https://airrays.com,Adaptive antenna systems enabling MIMO,Series A,,Germany,Airrays
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2016,Emerging,https://airseas.com,Wing Towing,,,France,AirSeas
Data & AI,Fleet Utilization,2014,Emerging,https://airspacetechnologies.com,Technology enabled logistics service provider,Series B,"28,000,000",USA,Airspace Technologies
Data & AI,Digital twin,2012,Distant,https://akselos.com,Saas-based operational simulation and predictive analytics platform,Series A,"12,200,000",Switzerland,Akselos
Data & AI,5G Connectivity,2013,Emerging,https://alcansystems.com,Smart antenna to enable connectivity in vehicles,Series A,"8,805,820",Germany,ALCAN Systems
Data & AI,Digital twin,2017,Distant,https://alchemy.cloud,Cloud-based software for the specialty chemical industry,Series A,"5,397,420",Republic of Serbia,Alchemy
Data & AI,Digital twin,2017,Emerging,https://allvision.io,Provider of location analytics to real estate industries,Seed,"3,200,000",USA,Allvision
Data & AI,Fleet Utilization,2016,Existing,https://alphaori.sg,Digital solutions provider for maritime industry,,,,Alpha Ori
Data & AI,5G Connectivity,2007,Emerging,https://alphawireless.com,Wireless antennas provider,Series A,,Ireland,Alpha Wireless
Fuel & Efficiency,Energy Efficiency & Storage,2009,Existing,https://alphabetenergy.com,Developer of thermoelectric materials for waste heat recovery,Series C,"52,676,829",USA,Alphabet Energy
Fuel & Efficiency,Energy Efficiency & Storage,2010,Existing,https://ambri.com,Liquid Metal Battery technology,Series C,"67,290,642",USA,Ambri
Fuel & Efficiency,New Fuel Types,2014,Emerging,https://americanfuelcell.us,Membrane Electrode Assembly developer,Seed,"50,000",USA,American Fuel Cell
Data & AI,Fleet Utilization,2012,Existing,https://anchorlab.net,Provider of data collection and analysis tools for monitoring and tracking applications for fisheries,,,,Anchor Lab
"Infrastructure, vessel & Asset efficiency",Energy & Equipment Management,2016,Emerging,https://anything-connected.com,IoT enabled solution for asset health monitoring,Funded,,Netherlands,Anything Connected
Data & AI,Fleet Utilization,2013,Existing,https://globalaquamaps.com,Provides a mobile application for marine navigation,,,,Aqua Map
"Infrastructure, vessel & Asset efficiency",Alternative Energy,2015,Emerging,https://aquanisinc.com,Technology developer for the increased efficiency of wind turbines,Seed,"200,000",USA,Aquanis
CO2 Transparency,CO2 Tracking,2018,Distant,https://arolytics.com,Software for monitoring and analyzing atmospheric emissions data,Seed,"25,000",Canada,Arolytics
Business Model Innovation,Freight Orchestration,2014,Existing,https://arrivelogistics.com,Tech-enabled 3PL provider,Series B,"40,000,000",USA,Arrive Logistics
Business Model Innovation,Freight Orchestration,2014,Emerging,https://shiparta.com,Online logistics platform for specialized cargo,Seed,"1,000,000",USA,Arta
"Infrastructure, vessel & Asset efficiency",Drones,2013,Existing,https://atmosuav.com,Designs and manufactures aerial observation and data gathering solutions,Series A,,Netherlands,Atmos UAV
Fuel & Efficiency,New Fuel Types,2010,Existing,https://atollenergy.com,Co-generation systems,Seed,"492,330",France,Atoll Energy
Fuel & Efficiency,Energy Efficiency & Storage,2013,Emerging,https://aureliaturbines.com,Small gas turbine manufacturer,Series A,"4,519,250",Finland,Aurelia Turbines
Data & AI,Fleet Utilization,2016,Existing,https://avancargo.com,Online marketplace for trucks,Seed,"1,000,000",Argentina,Avancargo
Data & AI,Port-Side Analytics,2000,Existing,https://aventeon.com,Mobile solutions for logistics and transport industry,Series A,"5,000,000",Netherlands,Aventeon
Data & AI,Digital twin,2010,Existing,https://aylanetworks.com,A platform for hosting connected devices,Series D,"124,400,000",USA,Ayla Networks
Business Model Innovation,Freight Orchestration,2018,Emerging,https://banyan.one,Online freight transportation auction marketplace,Funded,,,Banyan Mercantile
Data & AI,Fleet Utilization,2015,Existing,https://xiang.xin,Online marketplace for containerized freight transportation services,Seed,"1,577,428",China,Beijing Boxin Technology Co
Fuel & Efficiency,New Fuel Types,2010,Existing,https://nowogen.com,Developer of platinum electrode fuel cells,Series A,,China,Beijing Hydrogen Technology
